SNR_dB,rho,Near_user_PEP,Far_user_PEP,Average_PEP,kappa,selected_relay,selected_relay_gain
10.00000,0.33945,0.12236,0.13750,0.12993,2.00000,2.00000,0.43179
10.00000,0.34397,0.12265,0.13776,0.13021,2.00000,2.00000,0.43179
10.00000,0.34849,0.12296,0.13804,0.13050,2.00000,2.00000,0.43179
10.00000,0.35302,0.12328,0.13834,0.13081,2.00000,2.00000,0.43179
10.00000,0.35754,0.12361,0.13865,0.13113,2.00000,2.00000,0.43179
10.00000,0.36206,0.12396,0.13897,0.13146,2.00000,2.00000,0.43179
10.00000,0.36658,0.12432,0.13930,0.13181,2.00000,2.00000,0.43179
10.00000,0.37111,0.12469,0.13965,0.13217,2.00000,2.00000,0.43179
10.00000,0.37563,0.12507,0.14001,0.13254,2.00000,2.00000,0.43179
10.00000,0.38015,0.12547,0.14038,0.13293,2.00000,2.00000,0.43179
10.00000,0.38467,0.12588,0.14077,0.13332,2.00000,2.00000,0.43179
10.00000,0.38920,0.12630,0.14117,0.13374,2.00000,2.00000,0.43179
10.00000,0.39372,0.12674,0.14158,0.13416,2.00000,2.00000,0.43179
10.00000,0.39824,0.12719,0.14200,0.13459,2.00000,2.00000,0.43179
10.00000,0.40276,0.12764,0.14244,0.13504,2.00000,2.00000,0.43179
10.00000,0.40729,0.12812,0.14289,0.13550,2.00000,2.00000,0.43179
10.00000,0.41181,0.12860,0.14335,0.13598,2.00000,2.00000,0.43179
10.00000,0.41633,0.12910,0.14382,0.13646,2.00000,2.00000,0.43179
10.00000,0.42085,0.12960,0.14431,0.13696,2.00000,2.00000,0.43179
10.00000,0.42538,0.13013,0.14481,0.13747,2.00000,2.00000,0.43179
10.00000,0.42990,0.13066,0.14532,0.13799,2.00000,2.00000,0.43179
10.00000,0.43442,0.13120,0.14584,0.13852,2.00000,2.00000,0.43179
10.00000,0.43894,0.13176,0.14637,0.13907,2.00000,2.00000,0.43179
10.00000,0.44347,0.13233,0.14692,0.13963,2.00000,2.00000,0.43179
10.00000,0.44799,0.13291,0.14748,0.14020,2.00000,2.00000,0.43179
10.00000,0.45251,0.13350,0.14805,0.14078,2.00000,2.00000,0.43179
10.00000,0.45704,0.13411,0.14864,0.14137,2.00000,2.00000,0.43179
10.00000,0.46156,0.13473,0.14923,0.14198,2.00000,2.00000,0.43179
10.00000,0.46608,0.13536,0.14984,0.14260,2.00000,2.00000,0.43179
10.00000,0.47060,0.13600,0.15046,0.14323,2.00000,2.00000,0.43179
